user_id,client_id
user_1,client_5349
user_1,client_1711
user_1,client_3851
user_2,client_3886
user_2,client_2326
user_2,client_6006
user_3,client_4561
user_3,client_6464
user_3,client_4341
user_4,client_2150
user_4,client_6856
user_4,client_5387
user_5,client_3813
user_5,client_8095
user_6,client_8569
user_6,client_5768
user_6,client_3398
user_6,client_8673
user_7,client_7815
user_7,client_2882
user_8,client_3395
user_8,client_7792
user_8,client_8163
user_9,client_3008
user_9,client_5993
user_9,client_9964
user_9,client_7960
user_10,client_7808
user_10,client_2515
user_10,client_3491
user_10,client_3817
user_10,client_7280
